2025-10-12 21:41:33.933 [http-nio-8084-exec-1] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.findByEmail | Entity: repository | Timestamp: 1760294493933
2025-10-12 21:41:33.935 [http-nio-8084-exec-1] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy140.findByEmail | Entity: repository | Timestamp: 1760294493935
2025-10-12 21:41:42.664 [http-nio-8084-exec-7] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.findByEmail | Entity: repository | Timestamp: 1760294502664
2025-10-12 21:41:42.672 [http-nio-8084-exec-7] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy140.findByEmail | Entity: repository | Timestamp: 1760294502672
2025-10-12 21:41:42.744 [http-nio-8084-exec-8] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.findByEmail | Entity: repository | Timestamp: 1760294502744
2025-10-12 21:41:42.746 [http-nio-8084-exec-8] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy140.findByEmail | Entity: repository | Timestamp: 1760294502746
2025-10-12 21:41:43.850 [http-nio-8084-exec-9] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.findByEmail | Entity: repository | Timestamp: 1760294503850
2025-10-12 21:41:43.852 [http-nio-8084-exec-9] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy140.findByEmail | Entity: repository | Timestamp: 1760294503852
2025-10-12 21:41:43.859 [http-nio-8084-exec-9] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: GET_ALL_BOOKS | Entity: Book | Timestamp: 1760294503859
2025-10-12 21:41:43.874 [http-nio-8084-exec-9] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy146.findAll | Entity: repository | Timestamp: 1760294503874
2025-10-12 21:41:43.900 [http-nio-8084-exec-9] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: BookServiceImpl.getAllBooks | Entity: service | Timestamp: 1760294503900
2025-10-12 21:41:45.612 [http-nio-8084-exec-10] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.findByEmail | Entity: repository | Timestamp: 1760294505612
2025-10-12 21:41:45.614 [http-nio-8084-exec-10] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy140.findByEmail | Entity: repository | Timestamp: 1760294505614
2025-10-12 21:41:45.618 [http-nio-8084-exec-10] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy146.findByName | Entity: repository | Timestamp: 1760294505618
2025-10-12 21:41:45.618 [http-nio-8084-exec-10] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: BookServiceImpl.getBookByName | Entity: service | Timestamp: 1760294505618
2025-10-12 21:41:48.370 [http-nio-8084-exec-1] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.findByEmail | Entity: repository | Timestamp: 1760294508370
2025-10-12 21:41:48.372 [http-nio-8084-exec-1] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy140.findByEmail | Entity: repository | Timestamp: 1760294508372
2025-10-12 21:41:48.374 [http-nio-8084-exec-1] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy146.findByName | Entity: repository | Timestamp: 1760294508374
2025-10-12 21:41:48.375 [http-nio-8084-exec-1] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: BookServiceImpl.getBookByName | Entity: service | Timestamp: 1760294508375
2025-10-12 21:41:51.034 [http-nio-8084-exec-2] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.findByEmail | Entity: repository | Timestamp: 1760294511034
2025-10-12 21:41:51.036 [http-nio-8084-exec-2] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy140.findByEmail | Entity: repository | Timestamp: 1760294511036
2025-10-12 21:41:52.534 [http-nio-8084-exec-3] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.findByEmail | Entity: repository | Timestamp: 1760294512534
2025-10-12 21:41:52.536 [http-nio-8084-exec-3] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy140.findByEmail | Entity: repository | Timestamp: 1760294512536
2025-10-12 21:41:52.540 [http-nio-8084-exec-3] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.findAll | Entity: repository | Timestamp: 1760294512540
2025-10-12 21:41:52.541 [http-nio-8084-exec-3] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: ClientServiceImpl.getAllClients | Entity: service | Timestamp: 1760294512541
2025-10-12 21:41:55.876 [http-nio-8084-exec-4] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.findByEmail | Entity: repository | Timestamp: 1760294515876
2025-10-12 21:41:55.878 [http-nio-8084-exec-4] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy140.findByEmail | Entity: repository | Timestamp: 1760294515878
2025-10-12 21:41:55.885 [http-nio-8084-exec-4] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy145.findAll | Entity: repository | Timestamp: 1760294515885
2025-10-12 21:41:55.886 [http-nio-8084-exec-4] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: OrderServiceImpl.getAllOrders | Entity: service | Timestamp: 1760294515886
2025-10-12 21:42:02.068 [http-nio-8084-exec-8] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.existsByEmail | Entity: repository | Timestamp: 1760294522068
2025-10-12 21:42:02.157 [http-nio-8084-exec-8] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.save | Entity: repository | Timestamp: 1760294522157
2025-10-12 21:42:02.158 [http-nio-8084-exec-8] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: ClientServiceImpl.addClient | Entity: service | Timestamp: 1760294522158
2025-10-12 21:42:03.883 [http-nio-8084-exec-2] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.findByEmail | Entity: repository | Timestamp: 1760294523883
2025-10-12 21:42:03.956 [http-nio-8084-exec-3] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.findByEmail | Entity: repository | Timestamp: 1760294523956
2025-10-12 21:42:03.958 [http-nio-8084-exec-3] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy140.findByEmail | Entity: repository | Timestamp: 1760294523958
2025-10-12 21:42:04.464 [http-nio-8084-exec-4] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.findByEmail | Entity: repository | Timestamp: 1760294524464
2025-10-12 21:42:04.466 [http-nio-8084-exec-4] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy140.findByEmail | Entity: repository | Timestamp: 1760294524466
2025-10-12 21:42:04.466 [http-nio-8084-exec-4] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: GET_ALL_BOOKS | Entity: Book | Timestamp: 1760294524466
2025-10-12 21:42:04.471 [http-nio-8084-exec-4] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy146.findAll | Entity: repository | Timestamp: 1760294524471
2025-10-12 21:42:04.473 [http-nio-8084-exec-4] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: BookServiceImpl.getAllBooks | Entity: service | Timestamp: 1760294524473
2025-10-12 21:42:05.518 [http-nio-8084-exec-5] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.findByEmail | Entity: repository | Timestamp: 1760294525518
2025-10-12 21:42:05.519 [http-nio-8084-exec-5] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy140.findByEmail | Entity: repository | Timestamp: 1760294525519
