2025-10-12 21:41:33.933 [http-nio-8084-exec-1] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy139.findByEmail | Duration: 107ms | Timestamp: 1760294493933
2025-10-12 21:41:33.935 [http-nio-8084-exec-1] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy140.findByEmail | Duration: 2ms | Timestamp: 1760294493935
2025-10-12 21:41:33.945 [http-nio-8084-exec-1] INFO  PERFORMANCE - PERFORMANCE | Operation: HomeController.index | Duration: 0ms | Timestamp: 1760294493945
2025-10-12 21:41:35.990 [http-nio-8084-exec-4] INFO  PERFORMANCE - PERFORMANCE | Operation: HomeController.index | Duration: 0ms | Timestamp: 1760294495990
2025-10-12 21:41:36.683 [http-nio-8084-exec-5] INFO  PERFORMANCE - PERFORMANCE | Operation: ClientController.cart | Duration: 1ms | Timestamp: 1760294496683
2025-10-12 21:41:36.689 [http-nio-8084-exec-5] INFO  PERFORMANCE - PERFORMANCE | Operation: ClientController.getLoginPage | Duration: 0ms | Timestamp: 1760294496689
2025-10-12 21:41:37.397 [http-nio-8084-exec-6] INFO  PERFORMANCE - PERFORMANCE | Operation: ClientController.getLoginPage | Duration: 0ms | Timestamp: 1760294497397
2025-10-12 21:41:42.663 [http-nio-8084-exec-7] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy139.findByEmail | Duration: 2ms | Timestamp: 1760294502663
2025-10-12 21:41:42.672 [http-nio-8084-exec-7] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy140.findByEmail | Duration: 8ms | Timestamp: 1760294502672
2025-10-12 21:41:42.744 [http-nio-8084-exec-8] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy139.findByEmail | Duration: 2ms | Timestamp: 1760294502744
2025-10-12 21:41:42.746 [http-nio-8084-exec-8] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy140.findByEmail | Duration: 2ms | Timestamp: 1760294502746
2025-10-12 21:41:42.747 [http-nio-8084-exec-8] INFO  PERFORMANCE - PERFORMANCE | Operation: HomeController.index | Duration: 0ms | Timestamp: 1760294502747
